district_name,real_estate_area,real_estate_age,total_rooms,price,price_per_meter,real_estate_agencey,floor,elevator,parking,warehouse,units_per_floor,document,building_direction,unit_status,facilities
باغ فیض,۸۰,۱۳۸۵,۲,۷٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۹۴٬۳۷۵٬۰۰۰ تومان,کارگزاری املاک مروارید,۱,True,True,True,,,,,
قاسم‌آباد,۱۱۸,۱۳۹۹,۳,۱۰٬۰۳۰٬۰۰۰٬۰۰۰ تومان,۸۵٬۰۰۰٬۰۰۰ تومان,,۵ از ۶,True,True,True,۱,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی"
دزاشیب,۱۷۸,۱۴۰۰,۳,۳۷٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۱۲٬۳۶۰٬۰۰۰ تومان,نگین اقدسیه,۴,True,True,True,,,,,
جی,۱۰۴,۱۳۹۷,۲,۵٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۵۱۹٬۰۰۰ تومان,سام‌ با پنج شعبه فعال,۱,True,True,True,,,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
هفت چنار,۱۳۵,۱۳۸۵,۳,۱۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰٬۰۰۰ تومان,مسکن سامان,۱ از ۵,True,,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ ندارد,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
زعفرانیه,۲۱۵,۱۴۰۱,۳,۴۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲۳٬۲۵۶٬۰۰۰ تومان,دیپلمات زعفرانیه,۶ از ۶,True,True,True,۲,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
جنت‌آباد مرکزی,۸۰,۱۳۸۹,۲,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۷٬۵۰۰٬۰۰۰ تومان,مسکن نوين غرب,۳ از ۳,True,True,True,۳,تک‌برگ,شمالی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرمایش کولر آبی,گرمایش شوفاژ"
شهرک غرب,۱۷۰,۱۳۸۶,۳,۳۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۱۸۷٬۶۴۷٬۰۰۰ تومان,صدقی,۷ از ۱۵,True,True,True,۲,تک‌برگ,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
پاسداران,۸۷,۱۳۸۵,۲,۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۹٬۱۹۵٬۰۰۰ تومان,املاک دیباجی,۴,True,True,True,,,,,
الهیه,۲۰۰,۱۳۹۰,۳,۴۱٬۴۹۰٬۰۰۰٬۰۰۰ تومان,۲۰۷٬۴۵۰٬۰۰۰ تومان,,۴,True,True,True,,,,,
قیطریه,۱۴۸,۱۳۸۹,۳,۲۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۴٬۰۵۴٬۰۰۰ تومان,تراس قیطریه,۱,True,True,True,,,,,
میرداماد,۱۷۹,۱۳۸۲,۳,۲۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۷٬۳۱۸٬۰۰۰ تومان,گروه مشاورین رایزن سازه خانه شما,۴ از ۶,True,True,True,۱,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
اختیاریه,۱۲۰,۱۴۰۲,۲,۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۰٬۰۰۰٬۰۰۰ تومان,شایگان,۲,True,True,True,,,,,
