district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
فرمانیه,آپارتمان,185,3,2,0,38200000000,"آسانسور,انباری,سرایداری,لابی,روف گاردن,آبنما,لابی من,نورپردازی",3
ولنجک,آپارتمان,117,,0,,32700000000,,
ولنجک,آپارتمان,160,,0,,28800000000,,
بلوار فردوس,آپارتمان,85,2,1,0,توافقی,"آسانسور,انباری,سرایداری,نگهبانی,سالن اجتماعات,لابی",2
یوسف آباد,آپارتمان,130,3,1,3,17000000000,"آسانسور,انباری,لابی",3
یوسف آباد,آپارتمان,110,2,1,20,11200000000,"آسانسور,انباری",2
ظفر,آپارتمان,144,3,1,0,21000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اعلام حریق,اطفا حریق",3
نیاوران,آپارتمان,167,3,1,10,31730000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی,لابی من",3
شهرک غرب,آپارتمان,110,2,2,7,22000000000,"آسانسور,انباری,بالکن,اتاق مستر",2
شهران,آپارتمان,47,1,1,15,توافقی,"آسانسور,انباری,بالکن",1
بلوار فردوس,آپارتمان,83,2,1,0,توافقی,"آسانسور,انباری,بالکن",2
یوسف آباد,آپارتمان,115,2,1,17,توافقی,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی,آلاچیق",2
یوسف آباد,آپارتمان,155,3,1,20,16000000000,"آسانسور,انباری,بالکن,نورپردازی,آلاچیق",3
یوسف آباد,آپارتمان,130,3,1,22,13800000000,"آسانسور,انباری,بالکن",3
شهرزیبا,آپارتمان,78,2,1,6,6400000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اطفا حریق,پارکینگ مهمان",2
یوسف آباد,آپارتمان,171,3,1,0,30000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,آلاچیق",3
محله,آپارتمان,132,3,1,7,توافقی,"آسانسور,انباری,بالکن",3
محله,آپارتمان,120,3,2,0,600000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,پارکینگ مهمان,اتاق مستر,پاسیو",3
